,mixed,background,foreground,count
"(224, 224, 224, 232, 232, 232)",[227 227 227],[236 236 236],[730. 730. 730.],6
"(216, 232, 232, 248, 248, 248)",[220 230 230],[247 247 247],[705. 725. 725.],2
"(248, 248, 0, 216, 232, 232)",[250 247 255],[220 230 230],[280. 264. 280.],1
"(248, 248, 248, 224, 232, 224)",[248 245 247],[226 233 226],[270. 257. 268.],1
"(240, 0, 248, 240, 240, 240)",[243 255 248],[239 242 240],[247. 268. 256.],2
"(240, 240, 240, 232, 232, 232)",[244 244 244],[229 229 229],[259. 259. 259.],43
"(224, 224, 224, 248, 248, 248)",[228 228 228],[250 250 250],[718. 718. 718.],5
"(224, 224, 224, 240, 240, 240)",[228 228 228],[240 240 240],[728. 728. 728.],11
"(232, 232, 232, 232, 232, 232)",[235 235 235],[236 236 236],[746. 746. 746.],28
"(232, 232, 232, 224, 224, 224)",[236 236 236],[227 227 227],[245. 245. 245.],5
"(240, 240, 240, 216, 232, 232)",[238 239 243],[220 230 230],[256. 248. 256.],1
"(232, 232, 240, 0, 0, 0)",[236 232 237],[255 255 255],[729. 721. 731.],1
"(0, 248, 248, 232, 240, 232)",[255 250 251],[233 240 235],[277. 260. 267.],1
"(232, 232, 232, 240, 240, 240)",[235 235 235],[243 243 243],[739. 739. 739.],34
"(232, 232, 232, 248, 248, 240)",[231 231 231],[247 245 244],[727. 729. 730.],1
"(240, 240, 240, 224, 224, 224)",[240 240 240],[227 227 227],[253. 253. 253.],9
"(240, 240, 240, 216, 232, 240)",[238 238 238],[220 229 238],[256. 247. 238.],1
"(232, 232, 240, 232, 232, 232)",[231 234 238],[231 230 234],[231. 238. 242.],2
"(0, 248, 248, 232, 224, 224)",[253 249 248],[229 224 226],[277. 274. 270.],1
"(248, 248, 248, 224, 224, 224)",[250 250 250],[228 228 228],[272. 272. 272.],6
"(232, 232, 224, 248, 248, 248)",[233 230 226],[248 248 248],[730. 724. 716.],3
"(0, 0, 0, 224, 224, 224)",[254 254 254],[225 225 225],[283. 283. 283.],49
"(240, 240, 240, 248, 0, 248)",[243 243 243],[250 254 249],[748. 744. 749.],1
"(240, 240, 240, 248, 248, 0)",[241 241 241],[248 250 255],[746. 744. 739.],4
"(248, 248, 248, 248, 240, 240)",[248 250 250],[248 239 242],[248. 261. 258.],1
"(240, 240, 240, 0, 0, 248)",[243 243 243],[255 255 252],[743. 743. 746.],7
"(240, 240, 240, 224, 232, 216)",[240 240 240],[222 230 220],[258. 250. 260.],1
"(0, 0, 248, 232, 232, 240)",[255 255 252],[232 234 242],[278. 276. 262.],2
"(0, 0, 248, 240, 240, 240)",[255 255 251],[241 241 241],[269. 269. 261.],9
"(248, 0, 248, 248, 248, 248)",[252 253 249],[249 249 249],[255. 257. 249.],1
"(0, 248, 0, 248, 248, 248)",[255 251 255],[251 251 251],[259. 251. 259.],3
"(248, 0, 248, 240, 240, 240)",[248 255 248],[238 238 238],[258. 272. 258.],2
"(0, 248, 248, 232, 232, 232)",[253 251 251],[236 236 236],[270. 266. 266.],1
